#group	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
nitrogen_fixation	0.01929325751	0.02158913866	0.01817190623	0.007722616233	0.007605939877	0.009132420091	0.0115406809	0.02466005992	0.01253175275	0.004238998789	0.008793264733	0.007304116866	0.008980454305	0	0	0.005588993981	0.00718907261	0.006666666667	0.008579599619	0.004972941349	0.006207012246	0.01186131387	0.02145522388	0.01022644266	0.01320883626	0.0221574344	0.02942206655	0.0115713567	0.008034103951	0.005885237862	0.007791017415	0.007831534981	0.006993006993	0	0.004132231405	0.01005631537	0.00388681592	0.005220613001	0.004304697735	0.004908728333	0.007086764988	0.00758243696	0.003364171573	0.004580634971	0.004961115581	0.007300538849	0.009791243303	0.007932692308	0.004322200393	0.006060606061	0.008823529412	0.002437043054	0.006365082973	0.005195270512	0.01036814425	0.00819828408	0.0139551316	0.009039548023	0.01193277311	0.01191567369	0.009816397019	0.01214574899	0.01683366733	0.01083103584	0.0127388535	0.008069828722	0.007265968233	0.00871898055	0.009992313605	0.008668903803	0.01767327493	0.01228956229	0.007339185494	0.01778425656	0.007276507277	0.005238095238	0.01268194264	0.00490739275	0.007700976709	0.005836575875	0.008658841639	0.007998666889	0.006394707828	0.008238387379	0.01714380826	0.00822737472	0.005779194898	0.008868808568	0.01188364668	0.01206030151
nitrate_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_respiration	0	0	0.004179538434	0.005043341214	0	0	0	0	0	0.003431570448	0.01328344247	0.00879814077	0	0	0	0	0	0	0	0.008483252889	0.02080187888	0.02354014599	0.002985074627	0	0.01002049647	0	0	0	0.01442859485	0	0.01283226398	0.009223807866	0.0129576306	0	0.00646784046	0	0.007929104478	0.00505220613	0	0.01579996932	0.01015131201	0.009698465879	0.01345668629	0.008529458221	0.009385894342	0	0.00591169407	0	0.002161100196	0.001955034213	0.003308823529	0	0.002500568311	0.003403797922	0.01367392938	0.004385128694	0.0054760643	0.01033091203	0.009243697479	0.007943782463	0.01217960371	0.007162877608	0.009619238477	0.01378495471	0.004173072699	0.01350461133	0.007265968233	0.009725016767	0.004035357417	0.00755033557	0.003380974335	0	0.01597352137	0.01151603499	0.009652509653	0.005396825397	0.004179276553	0.006490422669	0.004695717506	0.005188067445	0.005964979796	0.00899850025	0.003087100331	0.009991235758	0.007323568575	0.003739715782	0.003786369071	0.005856760375	0.005853139411	0.003852596315
cellulolysis	0.01807473599	0.02893389717	0.02598582591	0.003940110323	0.003259688519	0	0.00461627236	0.006222631943	0.004233700254	0.003835284618	0.003180542563	0.004980079681	0	0.007003209804	0.00293901543	0	0	0.002291666667	0.0118207817	0.009945882697	0.01274953867	0.01386861314	0.02481343284	0.003104455807	0.01480300615	0.01243926142	0.01295971979	0.005701827939	0.007214297426	0.00653915318	0.008707607699	0.004002784546	0	0	0	0.002815768302	0.005130597015	0.003873358033	0.002807411567	0.004141739531	0.008810572687	0.008287779933	0.003364171573	0.004738587901	0.002145347278	0.01755605771	0.01570293737	0.01778846154	0.01866404715	0.01661779081	0.01323529412	0.004264825345	0.007501704933	0.004299534217	0.009316303531	0.01887511916	0.01925454867	0.01775625504	0.01394957983	0.01573479988	0.02799491002	0.02024291498	0.02885771543	0.08940527767	0.07335822535	0.03689064559	0.02872592092	0.03621730382	0.04438893159	0.008808724832	0.01029660366	0.01245791246	0.01971506692	0.01545189504	0.01084051084	0.01015873016	0.009655569967	0.01028969448	0.01709241172	0.0126459144	0.02693861843	0.01349775037	0.02381477398	0.01700262927	0.01481358189	0.008788332087	0.009764846552	0.01305220884	0.01418942888	0.01088777219
xylanolysis	0	0	0	0.003940110323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003109452736	0.002020882452	0	0	0	0	0	0.00252724688	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004035513	0.004201680672	0.004430186373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007936507937	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfide_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001202103681	0.002287893232	0.003003003003	0.001291364003	0.001848739496	0.0004582951421	0.0009089256499	0.001712862037	0.001002004008	0	0.0004392708105	0.001482213439	0.001182832038	0.001341381623	0	0.001118568233	0.001690487168	0.00303030303	0.001151244783	0	0.0007425007425	0.001111111111	0.002017581784	0.001741332911	0	0.003566796368	0.003271117953	0.002499583403	0	0.00245398773	0.0009986684421	0	0.001594260662	0.001673360107	0.001773678609	0.001340033501
dark_sulfur_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_thiosulfate_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_oxidation_of_sulfur_compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001202103681	0.002287893232	0.003003003003	0.001291364003	0.001848739496	0.0004582951421	0.0009089256499	0.001712862037	0.001002004008	0	0.0004392708105	0.001482213439	0.001182832038	0.001341381623	0	0.001118568233	0.001690487168	0.00303030303	0.001151244783	0	0.0007425007425	0.001111111111	0.002017581784	0.001741332911	0	0.003566796368	0.004618048874	0.002499583403	0	0.00245398773	0.0009986684421	0	0.001594260662	0.001673360107	0.001773678609	0.001340033501
manganese_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009124087591	0.008768656716	0	0.00592120246	0.008357628766	0.0119089317	0	0	0	0	0	0.007610037022	0	0	0	0	0.00336813742	0	0	0	0	0	0	0	0.01929428124	0.02660262331	0.02019230769	0.02612966601	0.02170087977	0.01966911765	0.004061738424	0.004546487838	0.003941239699	0.006010518407	0.004385128694	0.005652711535	0.01210653753	0.009075630252	0.008554842652	0.005089983639	0.004048582996	0.003206412826	0.04745962978	0.06984405886	0.05648880105	0.08093950659	0.03672032193	0.06667947733	0.03635346756	0.01552174581	0.02575757576	0.0210102173	0.02069970845	0.01217701218	0.02047619048	0.02449920738	0.0254867817	0.01446280992	0.01037613489	0.01154512219	0.03916013998	0.09856670342	0.05030674847	0.06075233023	0.07928197457	0.08569151056	0.02125167336	0.02075203973	0.02914572864
manganese_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligninolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fermentation	0.01848090983	0.007789895393	0.01181173905	0.01150512214	0.01901484969	0.01317175975	0.008847855357	0.03894906661	0.008467400508	0.008679854663	0.007857811038	0.01012616202	0.01241415742	0.01459002043	0	0.01784178848	0.01509705248	0.01270833333	0.01372735939	0.01345619424	0.01258178158	0.0200729927	0.01175373134	0.02227903579	0.01184240492	0.02060252672	0.03607705779	0.01609927889	0.01852762748	0.01749223476	0.009318667889	0.01079011486	0.01686548745	0.02023935234	0.01742723679	0.01890587289	0.02052238806	0.01700909397	0.02227213176	0.01135143427	0.01742961119	0.01340151649	0.0117746005	0.01121465803	0.007776883883	0.005909960021	0.001847404397	0.01466346154	0.01257367387	0.006451612903	0.007536764706	0.01360682372	0.01614003183	0.01039054102	0.006761833208	0.004766444233	0.004946122593	0.01291364003	0.01075630252	0.0116101436	0.00236320669	0.007474307069	0.007615230461	0	0.001976718647	0.002635046113	0.002872592092	0.003856472166	0.000384319754	0.002796420582	0.004303058245	0.005050505051	0.003165923154	0.004227405248	0.007276507277	0.008412698413	0.01052024787	0.005065695742	0.004507888805	0.005998702983	0.00558014239	0.005165805699	0	0.00245398773	0.001165113182	0.002804786836	0.003188521323	0.004016064257	0.003369989358	0.004355108878
aerobic_chemoheterotrophy	0.2209585703	0.1934119742	0.1451935308	0.1059101655	0.08330315103	0.08570425009	0.1029044047	0.1491126988	0.1053344623	0.09103754542	0.1854069224	0.1701527224	0.1661384046	0.1607820251	0.2454077884	0.1923903697	0.2561706207	0.1841666667	0.192564347	0.1285651602	0.1060224794	0.1698905109	0.2973880597	0.2302775749	0.2138465042	0.2316812439	0.1978984238	0.1859802113	0.1985571405	0.1966650319	0.2277726856	0.1705534285	0.1982723159	0.1473072862	0.1884656845	0.1912711183	0.2232587065	0.23627484	0.2468650571	0.1691977297	0.2539743344	0.1967906895	0.1894028595	0.1852787869	0.2118530437	0.2722058057	0.2366525032	0.2805288462	0.2567779961	0.2662756598	0.2409926471	0.1931356621	0.2286883383	0.1963453959	0.2805409467	0.3081029552	0.2819289878	0.3162227603	0.312605042	0.3287503819	0.2944919106	0.3104951728	0.2965931864	0.2918471839	0.2743246211	0.2745388669	0.2749239608	0.3061703555	0.2649884704	0.2321029083	0.2609497464	0.2974747475	0.2868038567	0.3209912536	0.3318978319	0.3222222222	0.3108517077	0.3185056198	0.3230653644	0.3018806744	0.3113334616	0.2646225629	0.2624035281	0.2727432077	0.2751331558	0.2442034405	0.301315265	0.250167336	0.2431713374	0.281239531
invertebrate_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_septicemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_pneumonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_nosocomia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_meningitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_gastroenteritis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_diarrhea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_all	0	0	0	0.001891252955	0	0.00158061117	0	0	0	0	0	0	0.003697834126	0.001459002043	0	0	0	0.001875	0.0007626310772	0.002486470674	0	0	0	0.001643535427	0	0	0.008756567426	0.001509307396	0.003607148713	0	0	0.001044204664	0	0.001759943682	0.000538986705	0.002413515688	0	0.000505220613	0	0.00398834177	0.003639149588	0.001763357433	0	0	0	0	0.004803251432	0.0007211538462	0.001964636542	0.00293255132	0.0009191176471	0.002843216897	0.00113662196	0.004120386958	0.003456048084	0.004194470925	0.005652711535	0.001775625504	0.003025210084	0.004430186373	0.00327213234	0.003270009343	0.002605210421	0.001575423395	0.003514166484	0.00395256917	0.004224400135	0.002012072435	0.0009607993851	0.003355704698	0.003227293684	0.002693602694	0.001295150381	0	0.0004455004455	0.002380952381	0.002594033722	0.0006332119677	0.006949661908	0.002594033722	0	0.001499750042	0.004630650496	0.001051709027	0.0009986684421	0.003365744203	0.00737345556	0.003848728246	0.002128414331	0.004020100503
fish_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_gut	0	0	0	0.001891252955	0	0	0	0	0	0	0	0	0.003697834126	0.001459002043	0	0	0	0.001875	0	0	0	0	0	0.001643535427	0	0.001943634597	0.008756567426	0	0.003607148713	0	0	0.001044204664	0	0.001759943682	0.000538986705	0.002413515688	0	0.000505220613	0	0	0.003639149588	0.001763357433	0	0	0	0	0.001847404397	0	0	0	0	0.00162469537	0.00113662196	0.001612325331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006332119677	0	0	0	0	0	0	0	0	0	0	0	0.000837520938
human_associated	0	0	0	0.001891252955	0	0.00158061117	0	0	0	0	0	0	0.003697834126	0.001459002043	0	0	0	0.001875	0.0007626310772	0.002486470674	0	0	0	0.001643535427	0	0.001943634597	0.008756567426	0.001509307396	0.003607148713	0	0	0.001044204664	0	0.001759943682	0.000538986705	0.002413515688	0	0.000505220613	0	0.00398834177	0.003639149588	0.001763357433	0	0	0	0	0.004803251432	0.0007211538462	0.001964636542	0.00293255132	0.0009191176471	0.002843216897	0.00113662196	0.004120386958	0.003456048084	0.004194470925	0.005652711535	0.001775625504	0.003025210084	0.004430186373	0.00327213234	0.003270009343	0.002605210421	0.001575423395	0.003514166484	0.00395256917	0.004224400135	0.002012072435	0.0009607993851	0.003355704698	0.003227293684	0.002693602694	0.001295150381	0	0.0004455004455	0.002380952381	0.002594033722	0.0006332119677	0.006949661908	0.002594033722	0	0.001499750042	0.004630650496	0.001051709027	0.0009986684421	0.003365744203	0.00737345556	0.003848728246	0.002128414331	0.004020100503
mammal_gut	0	0	0	0.001891252955	0	0	0	0	0	0	0	0	0.003697834126	0.001459002043	0	0	0	0.001875	0	0	0	0	0	0.001643535427	0	0.001943634597	0.008756567426	0	0.003607148713	0	0	0.001044204664	0	0.001759943682	0.000538986705	0.002413515688	0	0.000505220613	0	0	0.003639149588	0.001763357433	0	0	0	0	0.001847404397	0	0	0	0	0.00162469537	0.00113662196	0.001612325331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006332119677	0	0	0	0	0	0	0	0	0	0	0	0.000837520938
animal_parasites_or_symbionts	0	0	0	0.001891252955	0	0.00158061117	0	0	0	0	0	0	0.003697834126	0.001459002043	0	0	0	0.001875	0.0007626310772	0.002486470674	0	0	0	0.001643535427	0	0.001943634597	0.008756567426	0.001509307396	0.003607148713	0	0	0.001044204664	0	0.001759943682	0.000538986705	0.002413515688	0	0.000505220613	0	0.00398834177	0.003639149588	0.001763357433	0	0	0	0	0.004803251432	0.0007211538462	0.001964636542	0.00293255132	0.0009191176471	0.002843216897	0.00113662196	0.004120386958	0.003606311044	0.004194470925	0.007595831125	0.002744148507	0.003697478992	0.004735716468	0.004726413379	0.00513858611	0.002605210421	0.001575423395	0.004173072699	0.005270092227	0.004562352146	0.004024144869	0.0009607993851	0.003355704698	0.005839864761	0.003535353535	0.001295150381	0	0.0004455004455	0.002857142857	0.002882259692	0.001424726927	0.006949661908	0.004539559014	0.001346930922	0.003832694551	0.004851157663	0.006836108677	0.002330226365	0.003365744203	0.007772020725	0.007362784471	0.00372472508	0.005527638191
plant_pathogen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oil_bioremediation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001051840721	0	0.003003003003	0.001775625504	0.003193277311	0.002138710663	0.00254499182	0.003270009343	0.002805611222	0.001969279244	0.003514166484	0.001646903821	0.00405542413	0.004862508384	0.002305918524	0	0.006608268019	0.006397306397	0.001726867175	0.001020408163	0.002079002079	0.00380952381	0.001297016861	0.003640968814	0	0.009889753567	0.006542235905	0.00566572238	0.002205071665	0.008063102542	0.005492676431	0	0.002590673575	0.005689424364	0.002660517914	0.005360134003
aromatic_compound_degradation	0.01705930138	0.01068328511	0.006905324369	0.001576044129	0	0.002985598876	0.004808617042	0	0.003556308213	0.002825999193	0.003180542563	0.009462151394	0	0.005252407353	0.02669605682	0.00494411006	0	0.01833333333	0.009342230696	0.008922041831	0.00369065593	0.009671532847	0.02164179104	0.0111395179	0	0.0221574344	0	0.01878249203	0.007378258731	0.02076181135	0.009165902841	0.02227636617	0	0.02094332981	0.01976284585	0.01810136766	0.01305970149	0.01583024587	0.0110424855	0.008897070103	0.01474813254	0	0.01110176619	0.003159058601	0	0	0.002955847035	0	0.006876227898	0.003323558162	0.002022058824	0.01015434606	0.01022959764	0.009853099248	0.02569496619	0.02440419447	0.02596714361	0.02857142857	0.02789915966	0.02963641919	0.02744955463	0.03036437247	0.03026052104	0.01378495471	0.01976718647	0.01515151515	0.02230483271	0.0404091214	0.005764796311	0.01468120805	0.04195481789	0.05252525253	0.02403223485	0.02419825073	0.02079002079	0.02888888889	0.02104049575	0.0332436283	0.01145755071	0.0509079118	0.03328843564	0.04332611231	0.01433296582	0.03733567046	0.02896138482	0.00822737472	0.03128736548	0.03781793842	0.02536360411	0.03685092127
aliphatic_non_methane_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001051840721	0	0.003003003003	0.001775625504	0.003193277311	0.002138710663	0.00254499182	0.003270009343	0.002805611222	0.001969279244	0.003514166484	0.001646903821	0.00405542413	0.004862508384	0.002305918524	0	0.006608268019	0.006397306397	0.001726867175	0.001020408163	0.002079002079	0.00380952381	0.001297016861	0.003640968814	0	0.009889753567	0.006542235905	0.00566572238	0.002205071665	0.008063102542	0.005492676431	0	0.002590673575	0.005689424364	0.002660517914	0.005360134003
